Method,Accuracy,Balanced Accuracy,Macro F1,Weighted F1
Random Forest,0.5307480123316567,0.5035240601494353,0.48035997413594916,0.5482711989683297
Majority baseline,0.5109524582184002,0.3333333333333333,0.2254438717067583,0.34557330131652536
